external_id,name,category,material,plating,color,size,style,gender,stone,moq,reference_price,currency,image_url,source_url,source_name,data_kind,is_external_reference
JW-4CDE3330-01,Bold Stainless Steel Cuban Link PVD Chain Bracelet - 18K Gold / 7 mm x 20 cm,bracelet,stainless steel,PVD,,,,unisex,,1,3.88,USD,https://jewena.com/static/products/c4/JW-4CDE3330/v0_9c3cc150.webp,https://jewena.com/products/bold-316-stainless-steel-cuban-link-chain-bracelet-2?variant=JW-4CDE3330-01,Jewena,external_reference,true
JW-4CDE3330-02,Bold Stainless Steel Cuban Link PVD Chain Bracelet - 18K Gold / 8 mm x 20 cm,bracelet,stainless steel,PVD,,,,unisex,,1,4.62,USD,https://jewena.com/static/products/c4/JW-4CDE3330/v0_9c3cc150.webp,https://jewena.com/products/bold-316-stainless-steel-cuban-link-chain-bracelet-2?variant=JW-4CDE3330-02,Jewena,external_reference,true
JW-4CDE3330-03,Bold Stainless Steel Cuban Link PVD Chain Bracelet - 18K Gold / 9 mm x 20 cm,bracelet,stainless steel,PVD,,,,unisex,,1,4.97,USD,https://jewena.com/static/products/c4/JW-4CDE3330/v0_9c3cc150.webp,https://jewena.com/products/bold-316-stainless-steel-cuban-link-chain-bracelet-2?variant=JW-4CDE3330-03,Jewena,external_reference,true
JW-4CDE3330-04,Bold Stainless Steel Cuban Link PVD Chain Bracelet - 18K Gold / 11 mm x 21 cm,bracelet,stainless steel,PVD,,,,unisex,,1,5.79,USD,https://jewena.com/static/products/c4/JW-4CDE3330/v0_9c3cc150.webp,https://jewena.com/products/bold-316-stainless-steel-cuban-link-chain-bracelet-2?variant=JW-4CDE3330-04,Jewena,external_reference,true
JW-4CDE3330-05,Bold Stainless Steel Cuban Link PVD Chain Bracelet - 18K Gold / 13 mm x 21 cm,bracelet,stainless steel,PVD,,,,unisex,,1,5.69,USD,https://jewena.com/static/products/c4/JW-4CDE3330/v0_9c3cc150.webp,https://jewena.com/products/bold-316-stainless-steel-cuban-link-chain-bracelet-2?variant=JW-4CDE3330-05,Jewena,external_reference,true
JW-4CDE3330-06,Bold Stainless Steel Cuban Link PVD Chain Bracelet - Silver / 7 mm x 20 cm,bracelet,stainless steel,PVD,,,,unisex,,1,3.17,USD,https://jewena.com/static/products/c4/JW-4CDE3330/v1_168ef668.webp,https://jewena.com/products/bold-316-stainless-steel-cuban-link-chain-bracelet-2?variant=JW-4CDE3330-06,Jewena,external_reference,true
JW-4CDE3330-07,Bold Stainless Steel Cuban Link PVD Chain Bracelet - Silver / 8 mm x 20 cm,bracelet,stainless steel,PVD,,,,unisex,,1,3.66,USD,https://jewena.com/static/products/c4/JW-4CDE3330/v1_168ef668.webp,https://jewena.com/products/bold-316-stainless-steel-cuban-link-chain-bracelet-2?variant=JW-4CDE3330-07,Jewena,external_reference,true
JW-4CDE3330-08,Bold Stainless Steel Cuban Link PVD Chain Bracelet - Silver / 9 mm x 20 cm,bracelet,stainless steel,PVD,,,,unisex,,1,4.19,USD,https://jewena.com/static/products/c4/JW-4CDE3330/v1_168ef668.webp,https://jewena.com/products/bold-316-stainless-steel-cuban-link-chain-bracelet-2?variant=JW-4CDE3330-08,Jewena,external_reference,true
JW-4CDE3330-09,Bold Stainless Steel Cuban Link PVD Chain Bracelet - Silver / 11 mm x 21 cm,bracelet,stainless steel,PVD,,,,unisex,,1,4.21,USD,https://jewena.com/static/products/c4/JW-4CDE3330/v1_168ef668.webp,https://jewena.com/products/bold-316-stainless-steel-cuban-link-chain-bracelet-2?variant=JW-4CDE3330-09,Jewena,external_reference,true
JW-4CDE3330-10,Bold Stainless Steel Cuban Link PVD Chain Bracelet - Silver / 13 mm x 21 cm,bracelet,stainless steel,PVD,,,,unisex,,1,4.75,USD,https://jewena.com/static/products/c4/JW-4CDE3330/v1_168ef668.webp,https://jewena.com/products/bold-316-stainless-steel-cuban-link-chain-bracelet-2?variant=JW-4CDE3330-10,Jewena,external_reference,true
JW-4CDE3330-11,Bold Stainless Steel Cuban Link PVD Chain Bracelet - Black / 7 mm x 20 cm,bracelet,stainless steel,PVD,,,,unisex,,1,3.68,USD,https://jewena.com/static/products/c4/JW-4CDE3330/v2_c8914180.webp,https://jewena.com/products/bold-316-stainless-steel-cuban-link-chain-bracelet-2?variant=JW-4CDE3330-11,Jewena,external_reference,true
JW-4CDE3330-12,Bold Stainless Steel Cuban Link PVD Chain Bracelet - Black / 8 mm x 20 cm,bracelet,stainless steel,PVD,,,,unisex,,1,4.42,USD,https://jewena.com/static/products/c4/JW-4CDE3330/v2_c8914180.webp,https://jewena.com/products/bold-316-stainless-steel-cuban-link-chain-bracelet-2?variant=JW-4CDE3330-12,Jewena,external_reference,true
JW-4CDE3330-13,Bold Stainless Steel Cuban Link PVD Chain Bracelet - Black / 9 mm x 20 cm,bracelet,stainless steel,PVD,,,,unisex,,1,4.47,USD,https://jewena.com/static/products/c4/JW-4CDE3330/v2_c8914180.webp,https://jewena.com/products/bold-316-stainless-steel-cuban-link-chain-bracelet-2?variant=JW-4CDE3330-13,Jewena,external_reference,true
JW-4CDE3330-14,Bold Stainless Steel Cuban Link PVD Chain Bracelet - Black / 11 mm x 21 cm,bracelet,stainless steel,PVD,,,,unisex,,1,4.52,USD,https://jewena.com/static/products/c4/JW-4CDE3330/v2_c8914180.webp,https://jewena.com/products/bold-316-stainless-steel-cuban-link-chain-bracelet-2?variant=JW-4CDE3330-14,Jewena,external_reference,true
JW-4CDE3330-15,Bold Stainless Steel Cuban Link PVD Chain Bracelet - Black / 13 mm x 21 cm,bracelet,stainless steel,PVD,,,,unisex,,1,5.03,USD,https://jewena.com/static/products/c4/JW-4CDE3330/v2_c8914180.webp,https://jewena.com/products/bold-316-stainless-steel-cuban-link-chain-bracelet-2?variant=JW-4CDE3330-15,Jewena,external_reference,true
JW-7D266D14-01,Sculptural Stainless Steel Oval Stone Statement PVD Ring - Gold A705 / 7,ring,stainless steel,PVD,,,,unisex,,1,3.23,USD,https://jewena.com/static/products/b0/JW-7D266D14/v0_af52faa2.webp,https://jewena.com/products/sculptural-316-stainless-oval-stone-statement-ring?variant=JW-7D266D14-01,Jewena,external_reference,true
JW-7D266D14-02,Sculptural Stainless Steel Oval Stone Statement PVD Ring - Gold A706 / 7,ring,stainless steel,PVD,,,,unisex,,1,3.3,USD,https://jewena.com/static/products/b0/JW-7D266D14/v1_a11cf328.webp,https://jewena.com/products/sculptural-316-stainless-oval-stone-statement-ring?variant=JW-7D266D14-02,Jewena,external_reference,true
JW-7D266D14-03,Sculptural Stainless Steel Oval Stone Statement PVD Ring - Gold A707 / 7,ring,stainless steel,PVD,,,,unisex,,1,3.54,USD,https://jewena.com/static/products/b0/JW-7D266D14/v2_2a7d8f2e.webp,https://jewena.com/products/sculptural-316-stainless-oval-stone-statement-ring?variant=JW-7D266D14-03,Jewena,external_reference,true
JW-7D266D14-04,Sculptural Stainless Steel Oval Stone Statement PVD Ring - Silver A707 / 7,ring,stainless steel,PVD,,,,unisex,,1,3.3,USD,https://jewena.com/static/products/b0/JW-7D266D14/v3_2a7d8f2e.webp,https://jewena.com/products/sculptural-316-stainless-oval-stone-statement-ring?variant=JW-7D266D14-04,Jewena,external_reference,true
JW-1C56326D-02,Romantic Stainless Steel Daisy CZ Open PVD Ring - Silver Daisy / 7,ring,stainless steel,PVD,,,,unisex,,1,2.99,USD,https://jewena.com/static/products/2d/JW-1C56326D/v1_ab8b7692.webp,https://jewena.com/products/romantic-316-stainless-steel-daisy-cz-open-ring?variant=JW-1C56326D-02,Jewena,external_reference,true
JW-1C56326D-03,Romantic Stainless Steel Daisy CZ Open PVD Ring - Gold White CZ / 7,ring,stainless steel,PVD,,,,unisex,,1,3.77,USD,https://jewena.com/static/products/2d/JW-1C56326D/v2_c0692684.webp,https://jewena.com/products/romantic-316-stainless-steel-daisy-cz-open-ring?variant=JW-1C56326D-03,Jewena,external_reference,true
JW-1C56326D-04,Romantic Stainless Steel Daisy CZ Open PVD Ring - Silver White CZ / 7,ring,stainless steel,PVD,,,,unisex,,1,3.46,USD,https://jewena.com/static/products/2d/JW-1C56326D/v3_c0692684.webp,https://jewena.com/products/romantic-316-stainless-steel-daisy-cz-open-ring?variant=JW-1C56326D-04,Jewena,external_reference,true
JW-1C56326D-05,Romantic Stainless Steel Daisy CZ Open PVD Ring - Gold Pink CZ / 7,ring,stainless steel,PVD,,,,unisex,,1,3.77,USD,https://jewena.com/static/products/2d/JW-1C56326D/v4_7e6b3573.webp,https://jewena.com/products/romantic-316-stainless-steel-daisy-cz-open-ring?variant=JW-1C56326D-05,Jewena,external_reference,true
JW-1C56326D-06,Romantic Stainless Steel Daisy CZ Open PVD Ring - Gold Blue CZ / 7,ring,stainless steel,PVD,,,,unisex,,1,3.77,USD,https://jewena.com/static/products/2d/JW-1C56326D/v5_7621ea35.webp,https://jewena.com/products/romantic-316-stainless-steel-daisy-cz-open-ring?variant=JW-1C56326D-06,Jewena,external_reference,true
JW-1C56326D-07,Romantic Stainless Steel Daisy CZ Open PVD Ring - Gold Green CZ / 7,ring,stainless steel,PVD,,,,unisex,,1,3.77,USD,https://jewena.com/static/products/2d/JW-1C56326D/v6_d16495b4.webp,https://jewena.com/products/romantic-316-stainless-steel-daisy-cz-open-ring?variant=JW-1C56326D-07,Jewena,external_reference,true
JW-E5914E01-02,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Steel Silver / 3 mm x 45 cm,necklace,316,PVD,,,,unisex,,1,22.33,USD,https://jewena.com/static/products/db/JW-E5914E01/0_86487749.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-02,Jewena,external_reference,true
JW-E5914E01-03,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Steel Silver / 3 mm x 50 cm,necklace,316,PVD,,,,unisex,,1,25.11,USD,https://jewena.com/static/products/db/JW-E5914E01/0_86487749.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-03,Jewena,external_reference,true
JW-E5914E01-04,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Steel Silver / 4 mm x 40 cm,necklace,316,PVD,,,,unisex,,1,20.02,USD,https://jewena.com/static/products/db/JW-E5914E01/0_86487749.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-04,Jewena,external_reference,true
JW-E5914E01-05,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Steel Silver / 4 mm x 45 cm,necklace,316,PVD,,,,unisex,,1,22.1,USD,https://jewena.com/static/products/db/JW-E5914E01/0_86487749.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-05,Jewena,external_reference,true
JW-E5914E01-06,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Steel Silver / 4 mm x 50 cm,necklace,316,PVD,,,,unisex,,1,24.88,USD,https://jewena.com/static/products/db/JW-E5914E01/0_86487749.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-06,Jewena,external_reference,true
JW-E5914E01-07,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Steel Silver / 4 mm x 55 cm,necklace,316,PVD,,,,unisex,,1,27.31,USD,https://jewena.com/static/products/db/JW-E5914E01/0_86487749.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-07,Jewena,external_reference,true
JW-E5914E01-08,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Steel Silver / 5 mm x 40 cm,necklace,316,PVD,,,,unisex,,1,20.25,USD,https://jewena.com/static/products/db/JW-E5914E01/0_86487749.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-08,Jewena,external_reference,true
JW-E5914E01-09,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Steel Silver / 5 mm x 45 cm,necklace,316,PVD,,,,unisex,,1,22.29,USD,https://jewena.com/static/products/db/JW-E5914E01/0_86487749.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-09,Jewena,external_reference,true
JW-E5914E01-10,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Steel Silver / 5 mm x 50 cm,necklace,316,PVD,,,,unisex,,1,25.06,USD,https://jewena.com/static/products/db/JW-E5914E01/0_86487749.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-10,Jewena,external_reference,true
JW-E5914E01-11,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Steel Silver / 5 mm x 55 cm,necklace,316,PVD,,,,unisex,,1,27.54,USD,https://jewena.com/static/products/db/JW-E5914E01/0_86487749.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-11,Jewena,external_reference,true
JW-E5914E01-12,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Steel Silver / 5 mm x 60 cm,necklace,316,PVD,,,,unisex,,1,29.16,USD,https://jewena.com/static/products/db/JW-E5914E01/0_86487749.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-12,Jewena,external_reference,true
JW-E5914E01-16,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Gold / 3 mm x 50 cm,necklace,316,PVD,,,,unisex,,1,26.15,USD,https://jewena.com/static/products/db/JW-E5914E01/v0_009f3f54.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-16,Jewena,external_reference,true
JW-E5914E01-17,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Gold / 4 mm x 40 cm,necklace,316,PVD,,,,unisex,,1,21.8,USD,https://jewena.com/static/products/db/JW-E5914E01/v0_009f3f54.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-17,Jewena,external_reference,true
JW-E5914E01-18,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Gold / 4 mm x 45 cm,necklace,316,PVD,,,,unisex,,1,23.65,USD,https://jewena.com/static/products/db/JW-E5914E01/v0_009f3f54.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-18,Jewena,external_reference,true
JW-E5914E01-19,Iced 316 Stainless Steel CZ Tennis PVD Chain Necklace - Gold / 4 mm x 50 cm,necklace,316,PVD,,,,unisex,,1,26.27,USD,https://jewena.com/static/products/db/JW-E5914E01/v0_009f3f54.webp,https://jewena.com/products/iced-316-stainless-steel-cz-tennis-chain-necklace?variant=JW-E5914E01-19,Jewena,external_reference,true
