image_id,category,license,dataset_name,image_path,description,source_url,data_kind,is_external_reference
HF-JEWELRY-0001,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/$_3.jpeg,A bronze bracelet featuring a golden sphere between two stylized wings.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0002,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/00G0FPIT4D9J.jpg,"A stack of eight bracelets in varying shades of blue and silver, featuring beads, stones, and metallic elements.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0003,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/01D7PTXV8C7F.jpg,"A pair of matte black metal cuff bracelets, one engraved with ""MG,"" shown open and closed.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0004,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/02G14031IMEF.jpg,"A gold-toned bangle bracelet encrusted with small, amber-colored crystals, featuring small clear crystal accents at each end.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0005,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/031Q9F07X716.jpg,A gold bracelet with a lion's head centerpiece and intricate detailing on a textured gold background.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0006,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/03WI4QOA9EUK.jpg,"A silver Pandora bracelet with a row of small, light-yellow cubic zirconia stones and a sliding clasp.",https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0007,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/077K4K2JBEWE.jpg,A rose gold bracelet adorned with clear crystal marquise-shaped stones arranged in a floral pattern.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0008,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/09T1R2G1IRZ0.jpg,A gold sparkly double wrap bracelet with small gold end caps.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0009,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/0DGXDB6HD6LX.jpg,A delicate gold chain bracelet featuring a textured square charm and a rectangular rose quartz gemstone.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
HF-JEWELRY-0010,bracelet,MIT,sidd707/jewelry-design-dataset,bracelet/0FB6U4NLW1KR.jpg,A delicate silver bracelet with small diamonds and a central circular diamond bezel setting.,https://huggingface.co/datasets/sidd707/jewelry-design-dataset,external_reference,true
